,electorates,postcode
1654,Fisher,4517
1655,Fisher,4518
1656,Fisher,4519
1657,"Dickson, Ryan",4520
1658,"Dickson, Longman",4521
1659,Fisher,4550
1660,Fisher,4551
1661,"Fisher, Longman",4552
1662,Fisher,4553
1663,Fisher,4554
1664,"Fairfax, Fisher",4555
1665,"Fairfax, Fisher",4556
1666,"Fairfax, Fisher",4557
1667,Fairfax,4558
1668,"Fairfax, Fisher",4559
1669,"Fairfax, Fisher",4560
1670,Fairfax,4561
1671,"Fairfax, Wide Bay",4562
1672,Wide Bay,4563
1673,Fairfax,4564
1674,Wide Bay,4565
1675,Wide Bay,4566
1676,Wide Bay,4567
1677,Wide Bay,4568
1678,Wide Bay,4569
1679,Wide Bay,4570
1680,Wide Bay,4571
1681,"Fairfax, Fisher",4572
1682,"Fairfax, Wide Bay",4573
1683,"Fairfax, Fisher, Wide Bay",4574
1684,Fisher,4575
1685,Wide Bay,4580
1686,Wide Bay,4581
1687,Wide Bay,4600
1688,Wide Bay,4601
1689,"Wide Bay, Flynn",4605
1690,Flynn,4606
1691,"Flynn, Maranoa",4608
1692,"Flynn, Maranoa",4610
1693,Flynn,4611
1694,Flynn,4612
1695,Flynn,4613
1696,Maranoa,4614
1697,"Maranoa, Wide Bay",4615
1698,Wide Bay,4620
1699,"Flynn, Wide Bay",4621
1700,Flynn,4625
1701,"Flynn, Maranoa",4626
1702,Flynn,4627
1703,Flynn,4630
1704,"Hinkler, Wide Bay",4650
1705,"Hinkler, Wide Bay",4655
1706,"Hinkler, Wide Bay",4659
1707,Hinkler,4660
1708,Hinkler,4662
1709,"Hinkler, Flynn",4670
1710,"Hinkler, Flynn",4671
1711,Flynn,4673
1712,Flynn,4674
1713,Flynn,4676
1714,Flynn,4677
1715,Flynn,4678
1716,Flynn,4680
1717,Flynn,4694
1718,Flynn,4695
1719,Flynn,4697
1720,Flynn,4699
1721,"Capricornia, Flynn",4700
1722,Capricornia,4701
1723,"Flynn, Capricornia, Maranoa",4702
1724,Capricornia,4703
1725,Capricornia,4704
1726,Capricornia,4705
1727,Capricornia,4706
1728,Capricornia,4707
1729,Flynn,4709
1730,Capricornia,4710
1731,Capricornia,4711
1732,Flynn,4712
1733,Flynn,4713
1734,Flynn,4714
1735,Flynn,4715
1736,Flynn,4716
1737,Flynn,4717
1738,Flynn,4718
1739,Flynn,4719
1740,Flynn,4720
1741,"Capricornia, Flynn",4721
1742,Flynn,4722
1743,Flynn,4723
1744,Maranoa,4724
1745,Maranoa,4725
1746,Maranoa,4726
1747,Maranoa,4727
1748,Maranoa,4728
1749,Maranoa,4730
1750,Maranoa,4731
1751,"Kennedy, Maranoa",4732
1752,"Kennedy, Maranoa",4733
1753,Maranoa,4735
1754,Maranoa,4736
1755,Capricornia,4737
1756,Capricornia,4738
1757,Capricornia,4739
1758,"Capricornia, Dawson",4740
1759,"Capricornia, Dawson",4741
1760,Capricornia,4742
1761,Capricornia,4743
1762,Capricornia,4744
1763,Capricornia,4745
1764,"Capricornia, Flynn",4746
1765,Dawson,4750
1766,Capricornia,4751
1767,Capricornia,4753
1768,Capricornia,4754
1769,Capricornia,4756
1770,Capricornia,4757
1771,Dawson,4798
1772,Dawson,4799
1773,Dawson,4800
1774,Dawson,4801
1775,Dawson,4802
1776,Dawson,4803
1777,"Capricornia, Dawson",4804
1778,"Capricornia, Dawson",4805
1779,Dawson,4806
1780,"Dawson, Kennedy",4807
1781,Dawson,4808
1782,"Dawson, Kennedy",4809
1783,"Herbert, Dawson",4810
1784,"Herbert, Dawson, Kennedy",4811
1785,Herbert,4812
1786,Herbert,4813
1787,"Herbert, Dawson",4814
1788,"Herbert, Kennedy",4815
1789,"Dawson, Kennedy, Herbert",4816
1790,"Herbert, Kennedy",4817
1791,"Herbert, Kennedy",4818
1792,Herbert,4819
1793,Kennedy,4820
1794,Kennedy,4821
1795,Kennedy,4822
1796,Kennedy,4823
1797,Kennedy,4824
1798,Kennedy,4825
1799,Kennedy,4828
1800,"Kennedy, Maranoa",4829
1801,Kennedy,4830
1802,Kennedy,4849
1803,"Kennedy, Herbert",4850
1804,Kennedy,4852
1805,Kennedy,4854
1806,Kennedy,4855
1807,Kennedy,4856
1808,,4857
1809,Kennedy,4858
1810,Kennedy,4859
1811,Kennedy,4860
1812,Kennedy,4861
1813,Kennedy,4865
1814,Leichhardt,4868
1815,"Leichhardt, Kennedy",4869
1816,"Leichhardt, Kennedy",4870
1817,"Kennedy, Leichhardt",4871
1818,"Kennedy, Leichhardt",4872
1819,Leichhardt,4873
1820,Leichhardt,4874
1821,Leichhardt,4875
1822,Leichhardt,4876
1823,Leichhardt,4877
1824,Leichhardt,4878
1825,Leichhardt,4879
1826,Kennedy,4880
1827,"Kennedy, Leichhardt",4881
1828,Kennedy,4882
1829,Kennedy,4883
1830,Kennedy,4884
1831,Kennedy,4885
1832,Kennedy,4886
1833,Kennedy,4887
1834,Kennedy,4888
1835,Kennedy,4890
1836,Kennedy,4891
1837,Leichhardt,4895
1838,Adelaide,5000
1839,,5001
1840,,5005
1841,Adelaide,5006
1842,"Adelaide, Hindmarsh, Port Adelaide",5007
1843,"Adelaide, Port Adelaide",5008
1844,"Hindmarsh, Port Adelaide",5009
1845,Port Adelaide,5010
1846,Port Adelaide,5011
1847,Port Adelaide,5012
